id,domain,hate_text
COLD_GEN_P030,gender,酒馆之前打游戏碰到个女粉，女粉说她躺了，酒馆说，我就蹭蹭，不进去，可以吗。个人觉得这个更恶心。我是男生，我也觉得恶心。纯直男
COLD_GEN_P003,gender,啊男性这点真的恶心人啊
COLD_GEN_P044,gender,某些所谓的「直男癌」，见到女的就两眼放光，见到男的就鄙视
CCL_6862,gender,普通女生无罪，有罪的是一开始男扮女装挑起性别对立的键盘侠
COLD_RAC_P070,race,"我不喜欢黑人=歧视黑人,我讨厌黑人=歧视黑人,跪舔黑人=种族平等"
CCL_0913,race,其实没啥的，就是炮友吗，艾滋病毒多点而已
CCL_0293,race,看来非洲真是未来人口增长的主动力。
CCL_1442,race,失足妇女是要钱，可以理解。
COLD_REG_P121,region,身为河南人。 恶心宿舍某个河南室友。嘲讽我穿优衣库
COLD_REG_P102,region,可是我还是觉得成王败寇，抗战胜利美国佬在中国强奸打人杀人，毛子在东北，你看他们打赢了，毛子在东北抢劫强奸杀人，抢设备，没人说他们？也没人清算，只是因为拳头不够硬。
COLD_REG_P143,region,你是东北人？别恶心人了！自己杜撰造谣的吧！作为东北人，从来没听过这些！
CCL_0927,region,广州就是黑河南、黑北方的总部
